id,label_index,prediction
F237,0.0,0.0
R086,1.0,1.0
R240,1.0,1.0
R133,1.0,1.0
F044,0.0,0.0
F125,0.0,0.0
F165,0.0,0.0
F137,0.0,0.0
R088,1.0,1.0
R169,1.0,1.0
R193,1.0,1.0
F247,0.0,0.0
R179,1.0,1.0
F138,0.0,0.0
R017,1.0,1.0
F090,0.0,0.0
F222,0.0,0.0
R114,1.0,1.0
F235,0.0,0.0
F185,0.0,0.0
F221,0.0,0.0
F054,0.0,0.0
R000,1.0,1.0
R178,1.0,1.0
F006,0.0,0.0
F174,0.0,0.0
R009,1.0,1.0
R122,1.0,1.0
F189,0.0,0.0
R146,1.0,1.0
R022,1.0,1.0
F177,0.0,0.0
F021,0.0,0.0
R039,1.0,1.0
F061,0.0,0.0
R057,1.0,1.0
F154,0.0,0.0
F052,0.0,0.0
F124,0.0,0.0
R071,1.0,1.0
R152,1.0,1.0
F038,0.0,0.0
F101,0.0,0.0
F203,0.0,0.0
F192,0.0,0.0
R189,1.0,1.0
R098,1.0,1.0
R149,1.0,1.0
R046,1.0,1.0
F055,0.0,0.0
F159,0.0,0.0
F083,0.0,0.0
R109,1.0,1.0
R102,1.0,1.0
R060,1.0,1.0
F085,0.0,0.0
F188,0.0,0.0
F131,0.0,0.0
R202,1.0,1.0
F111,0.0,0.0
R151,1.0,1.0
F058,0.0,0.0
R164,1.0,1.0
F242,0.0,0.0
F064,0.0,0.0
R228,1.0,1.0
R210,1.0,1.0
R156,1.0,1.0
R192,1.0,1.0
F102,0.0,0.0
R237,1.0,1.0
F015,0.0,0.0
F020,0.0,0.0
R083,1.0,1.0
F035,0.0,0.0
R082,1.0,1.0
F114,0.0,0.0
F179,0.0,0.0
F026,0.0,0.0
R217,1.0,1.0
F009,0.0,0.0
F240,0.0,0.0
R216,1.0,1.0
F129,0.0,0.0
R197,1.0,1.0
F142,0.0,0.0
R140,1.0,1.0
R165,1.0,1.0
R139,1.0,1.0
F232,0.0,0.0
F108,0.0,0.0
F167,0.0,0.0
R242,1.0,1.0
F133,0.0,0.0
F025,0.0,0.0
F093,0.0,0.0
F236,0.0,0.0
F069,0.0,0.0
F219,0.0,0.0
R079,1.0,1.0
F042,0.0,0.0
R154,1.0,1.0
R089,1.0,1.0
R038,1.0,1.0
R053,1.0,1.0
F201,0.0,0.0
F013,0.0,0.0
R023,1.0,1.0
R068,1.0,1.0
F065,0.0,0.0
F239,0.0,0.0
F084,0.0,0.0
R120,1.0,1.0
F207,0.0,0.0
R158,1.0,1.0
R097,1.0,1.0
R092,1.0,1.0
F172,0.0,0.0
R182,1.0,1.0
F014,0.0,0.0
R230,1.0,1.0
F223,0.0,0.0
R221,1.0,1.0
R173,1.0,1.0
F249,0.0,0.0
F112,0.0,0.0
R058,1.0,1.0
R159,1.0,1.0
R029,1.0,1.0
R126,1.0,1.0
R132,1.0,1.0
R025,1.0,1.0
F214,0.0,0.0
R177,1.0,1.0
R196,1.0,1.0
R135,1.0,1.0
F152,0.0,0.0
F180,0.0,0.0
F003,0.0,0.0
F244,0.0,0.0
F194,0.0,0.0
R044,1.0,1.0
R141,1.0,1.0
R188,1.0,1.0
F010,0.0,0.0
R106,1.0,1.0
R049,1.0,1.0
R144,1.0,1.0
F199,0.0,0.0
F215,0.0,0.0
R176,1.0,1.0
F105,0.0,0.0
F031,0.0,0.0
R206,1.0,1.0
F238,0.0,0.0
R027,1.0,1.0
F169,0.0,0.0
F208,0.0,0.0
F212,0.0,0.0
F032,0.0,0.0
F109,0.0,0.0
R111,1.0,1.0
F078,0.0,0.0
R105,1.0,1.0
F196,0.0,0.0
F118,0.0,0.0
F077,0.0,0.0
F070,0.0,0.0
F041,0.0,0.0
R026,1.0,1.0
R207,1.0,1.0
F163,0.0,0.0
F171,0.0,0.0
F139,0.0,0.0
F120,0.0,0.0
F146,0.0,0.0
R115,1.0,1.0
F039,0.0,0.0
F225,0.0,0.0
F140,0.0,0.0
F122,0.0,0.0
R070,1.0,1.0
F248,0.0,0.0
R016,1.0,1.0
R148,1.0,1.0
R142,1.0,1.0
F141,0.0,0.0
R076,1.0,1.0
R180,1.0,1.0
F126,0.0,0.0
R134,1.0,1.0
F132,0.0,0.0
F230,0.0,0.0
F243,0.0,0.0
R191,1.0,1.0
R130,1.0,1.0
F081,0.0,0.0
R209,1.0,1.0
F228,0.0,0.0
R030,1.0,1.0
R214,1.0,1.0
R175,1.0,1.0
